Tỉnh/Thành phố trực thuộc trung ương,Tỉnh/Thành phố trực thuộc trung ương.1,Thang điểm,Hà Nội,Cao Bằng,Tuyên Quang,Lào Cai,Điện Biên,Lai Châu,Sơn La,Thái Nguyên,Lạng Sơn,Quảng Ninh,Phú Thọ,Bắc Ninh,Hải Phòng,Hưng Yên,Ninh Bình,Thanh Hóa,Nghệ An,Hà Tĩnh,Quảng Trị,Thừa Thiên-Huế,Đà Nẵng,Quảng Ngãi,Khánh Hòa,Gia Lai,Đắk Lắk,Lâm Đồng,Tây Ninh,Đồng Nai,TP. Hồ Chí Minh,Vĩnh Long,Đồng Tháp,An Giang,Cần Thơ,Cà Mau
Unweighted PAPI Score,Chỉ số PAPI tổng hợp (không có trọng số),10-80 điểm/points,43.77471542,41.33247757,43.172610559999995,41.84956965764705,41.37582779,43.47956848,43.88755035,45.95116559470588,45.00362396,47.82123566,44.06323480500001,45.02837535142857,42.6505452592683,44.6023586965625,44.019932094210525,44.87075043,43.06988907,45.55308533,44.21713113874999,45.095047,42.02941989821429,42.19724554894737,44.41454415368421,42.341796629677425,42.257508002142856,43.254679961176464,44.313948057999994,41.77678307377778,43.60278861522058,41.64747365484848,43.83571243,41.44219909108107,43.0011864896875,44.34111295428571
Unweighted 95% CI Low,Chỉ số PAPI tổng hợp (không có trọng số) - điểm tối thiểu trong khoảng tin cậy 95%,,43.22079086,39.59832001,40.40640438294117,39.282421109411764,40.43947601,42.1847229,42.42144775,43.16781593294118,43.0752449,46.90607452,43.58548355,43.840976171428565,40.55906519341464,43.45724344343749,43.34071721552632,44.52917099,42.40067291,44.70790482,43.596582411250004,44.52157974,41.05477482892857,40.942641608421056,42.916038513684214,41.43991519870968,41.79503454142858,41.07051333323529,41.749231720000004,40.99520755222222,42.30196055536764,40.42228513757576,42.02853394,40.93315258783784,41.4034481028125,42.66109629714285
Unweighted 95% CI High,Chỉ số PAPI tổng hợp (không có trọng số) - điểm tối đa trong khoảng tin cậy 95%,,44.32863998,43.06663513,45.93881674705882,44.41671820117647,42.31217957,44.77441406,45.35365295,48.7345152482353,46.93200302,48.73639679,44.540986063750005,46.21577453571428,44.742025330000004,45.747473955625004,44.69914697552632,45.21232986,43.73910522,46.39826584,44.83767986625001,45.66851425,43.00406496750001,43.451849485789474,45.913049800526316,43.24367806548386,42.71998146285714,45.43884658705882,46.878664396,42.55835859533333,44.903616682058825,42.87266216818182,45.64289093,41.95124558918919,44.5989248765625,46.02112961142856
Unweighted Standard Error,Chỉ số PAPI tổng hợp (không có trọng số) - sai số ,,0.2825990617,0.8847280145,1.4112558715294117,1.309700783764706,0.4777055383,0.6606001854,0.7479726672,1.420001678917647,0.9838147163,0.4668950438,0.2437371723625,0.6057847993571429,1.0670256787804882,0.5842113736781249,0.3465202191631579,0.1742668301,0.3414182365,0.4311911166,0.316589893775,0.2925703228,0.49724226766428575,0.6400703630947369,0.7645028234473683,0.4601192411967742,0.23594356271785713,1.114311808905882,1.3084599732,0.3987412266933334,0.6636532364845588,0.6250631711212121,0.9219803214,0.25970353630810805,0.81512982398125,0.8571057361571427
Dimension 1: Participation,Chỉ số nội dung 1: Tham gia của người dân ở cấp cơ sở,1-10 điểm/points,5.392269611,4.640318394,5.1857557577647055,4.870843298058824,4.63153553,5.236279488,5.204467773,5.745524041882353,5.525623798,5.873931408,5.233066380125,5.803445816142856,5.295102526121952,5.292783826749999,5.586421037842105,5.688567638,5.318381786,5.841213226,5.4795593026875,5.389177799,4.558243512928572,4.6952458682105265,4.571488380789474,4.675178466064516,4.619145512285714,5.052988332764706,4.970453071400001,4.552126015755555,4.801749650279412,4.2829415723939395,4.59010458,4.1973402697027025,4.295278742999999,4.62952579742857
Civic Knowledge,1.1: Tri thức công dân,0.25-2.5 điểm,1.425715804,1.056707978,0.9934085359529412,0.9542093171941175,0.9408271313,1.033711314,1.139144182,1.3576567309999998,1.035178542,1.294818282,0.969390273125,1.1413955515714285,1.2387523821463415,1.1343783175625,1.2071723026842105,1.143213034,1.099678397,1.261378884,1.2154469639375,1.200833678,1.074525298857143,0.9582660326000001,1.192225029473684,1.0563469972258064,1.0004872040714285,1.0509003697911763,1.05917967544,1.0315902350666668,1.1877525055735294,0.9506465590909093,0.9690349102000001,0.8760892748918918,0.944201737659375,1.147306953
Proportion with Civic Knowledge,Hiểu biết về chính sách hiện hành (%),0%-100%,0.8109383583,0.5468549132,0.5607561153647058,0.581349786635294,0.4455891252,0.5837412477,0.6124204397,0.8263093653882353,0.542323947,0.6448731422,0.6471155062,0.6162618824571428,0.5823470485048782,0.6122877542312499,0.6018874754763158,0.6201788187,0.580817163,0.7006232738,0.720294360075,0.6748777032,0.6008577155142858,0.5977858242684212,0.6691268933105263,0.6433885327903226,0.5830390134285715,0.6087855170676469,0.6932865977599999,0.5838076525111111,0.7363546341558824,0.5457410902969697,0.6099854708,0.5131419349648648,0.604132454846875,0.7302634290428571
Knowledge of Leaders,Hiểu biết về vị trí lãnh đạo (%),0%-100%,0.6396115422,0.4436463118,0.38042954662941175,0.3352889366176471,0.3912740052,0.4047616422,0.4841401577,0.5714290983294117,0.4267745018,0.6062908173,0.31590030338749997,0.4842206537857142,0.5877174691707318,0.47997018788124995,0.5498760812973684,0.4838777483,0.4648611546,0.5486918688,0.49802790020625,0.5077466965,0.4324825288642858,0.3306768975842106,0.5029699018473685,0.39505858861935483,0.3755802469214286,0.4075186874999999,0.37262749672,0.40284304089555556,0.46538043331764706,0.3499264075848485,0.3341494501,0.2999528203513513,0.31500199625625,0.43247444287142855
Opportunties for Participation in Elections,1.2: Cơ hội tham gia,0.25-2.5 điểm/points,1.531021953,1.380180955,1.4766684838823527,1.407231632235294,1.381612539,1.492469549,1.466421247,1.6621736989411762,1.776866198,1.883087277,1.641892418375,1.800640992,1.5642840891951222,1.5784773641249998,1.5822295486578946,1.674947858,1.528960824,1.521315575,1.5359656959375,1.632520676,1.3237198164285715,1.280489545368421,1.3404892744736843,1.2666734034193547,1.2688188977142856,1.3877031137058822,1.2599610328,1.205145478,1.1714380980735295,1.1026828465454546,1.03466332,1.0616060368324323,1.0219047144906248,1.1824219057142855
Participated in Formal Associations,"Tham gia vào các tổ chức chính trị, chính trị-xã hội, đoàn thể (%)",0%-100%,0.4469206333,0.5481251478,0.5340507749294118,0.5694511778294117,0.580216825,0.5565567017,0.6266666651,0.683421951835294,0.6286177635,0.526593864,0.653372831675,0.6284798298857144,0.5729011181243903,0.6557517833593749,0.5992912759789474,0.6201788187,0.7123010755,0.6910902858,0.7090348303437499,0.6097445488,0.39277526415000014,0.3945159755210526,0.3547576979684211,0.4229685193193548,0.4127791470464286,0.361569661417647,0.29410873056000003,0.3449746397022222,0.2772667160522059,0.3054286060818182,0.2849776447,0.20800146665405406,0.305708684946875,0.37445948805714285
Participated in Informal Associations,"Tham gia vào các tổ chức xã hội, hội, nhóm, câu lạc bộ tự lập (%)",0%-100%,0.1999264359,0.09939784557,0.14394673089411764,0.20033854510588234,0.1730174124,0.1663290858,0.2069623917,0.2958106346294117,0.234860763,0.2014256418,0.218782935275,0.2423220276571429,0.2283907452658537,0.22159396905624998,0.21888106042105265,0.1913349181,0.2003189325,0.2805607617,0.17802773325625,0.1148070097,0.15643531881428574,0.1216849579,0.14688984346842107,0.0673816146364516,0.13721527053571428,0.1037145666788235,0.08092345446799999,0.12180034979999999,0.09373103816485295,0.06021871039303031,0.1028492525,0.05581065186945946,0.09949903212124998,0.06244743508999999
Voted in Last Communce People's Council Election,Tỷ lệ người trả lời đã tham gia bầu cử đại biểu Hội đồng Nhân dân lần gần đây nhất (%)*,0%-100%,0.7494521737,0.7020648718,0.6883493276352941,0.6255906013705882,0.5745406747,0.7731932402,0.7555757761,0.7334955474999999,0.8232610226,0.9087409377,0.7674927115250001,0.8347784706714286,0.7596674168829269,0.733507551271875,0.727729212281579,0.8109942079,0.7079676986,0.6619997621,0.7275333181124999,0.7975592613,0.6581859886535716,0.6064636958526316,0.6238007169157895,0.6059079189354839,0.6221742608892857,0.6775080895029411,0.65511957406,0.6012867914266666,0.572788395392647,0.5607251543060607,0.4803328216,0.5218674830216216,0.467646316634375,0.527517395342857
Voted in Last National Assembly Election,Tỷ lệ người trả lời đã tham gia bầu cử đại biểu Quốc hội lần gần đây nhất (%)*,0%-100%,0.7478628159,0.6515446305,0.7302409831294117,0.6366093544294117,0.6530224085,0.6873217821,0.5729452968,0.7187913726411764,0.872356832,0.9718307853,0.7265462428250001,0.8777954152857143,0.6656496771878049,0.685110665865625,0.7173200594789473,0.7852841616,0.5956529975,0.6217256188,0.5750355534249999,0.7345956564,0.5962777414214286,0.5640866505368421,0.6327921654052633,0.544716267835484,0.5721153340357142,0.6854577345205881,0.59555244446,0.5893471174822221,0.6080379745036765,0.4662457875969697,0.4978979826,0.5378850312054053,0.47304709812187495,0.5650540504857143
