Tỉnh/Thành phố trực thuộc trung ương,Thang điểm,Hà Nội,Cao Bằng,Tuyên Quang,Lào Cai,Điện Biên,Lai Châu,Sơn La,Thái Nguyên,Lạng Sơn,Quảng Ninh,Phú Thọ,Bắc Ninh,Hải Phòng,Hưng Yên,Ninh Bình,Thanh Hóa,Nghệ An,Hà Tĩnh,Quảng Trị,Thừa Thiên-Huế,Đà Nẵng,Quảng Ngãi,Khánh Hòa,Gia Lai,Đắk Lắk,Lâm Đồng,Tây Ninh,Đồng Nai,TP. Hồ Chí Minh,Vĩnh Long,Đồng Tháp,An Giang,Cần Thơ,Cà Mau
Chỉ số PAPI tổng hợp (có trọng số),10-80 điểm,43.52419662475586,47.883209228515625,45.91040510289809,46.491827392578124,47.18836975097656,44.8658332824707,48.0542106628418,45.807467222213745,47.144283294677734,52.30018997192383,46.69684060414632,47.357326030731194,45.62788733457908,45.80906915664672,47.76827353400153,47.97843551635742,47.23994445800781,48.94826889038086,48.292440795898436,48.27566909790039,48.172712179330674,44.74492959415211,46.02335103352865,45.17750549316406,44.688623837062295,44.6251842129615,46.14094898618501,47.24865638918994,46.331789812703775,49.530237602465085,48.935550689697266,47.61896324157715,48.59965022917717,47.82052993774414
Chỉ số PAPI tổng hợp (có trọng số) - điểm tối thiểu trong khoảng tin cậy 95%,,42.795448303222656,47.14588165283203,45.353911231545844,45.93756866455078,45.96622848510742,44.08236312866211,45.404380798339844,43.93726754188537,46.47768020629883,50.886131286621094,45.41082763671874,46.61200261116027,44.957037607828774,44.61379384994506,47.05696363706847,47.02872085571289,45.77568054199219,47.842315673828125,47.538375091552744,47.68476104736328,46.96374306311974,44.01332675709444,45.28851826985677,43.906349182128906,42.63135950905936,43.73117446899414,45.36801318464608,46.1741120873428,45.237011977068086,48.827280680338546,47.551521076875574,46.484830962287056,47.993277026760964,47.083630153111045
Chỉ số PAPI tổng hợp (có trọng số) - điểm tối đa trong khoảng tin cậy 95%,,44.25294494628906,48.62053680419922,46.466898974250334,47.04608612060547,48.4105110168457,45.6493034362793,50.70404052734375,47.67766690254211,47.81088638305664,53.71424865722656,47.98285357157389,48.102649450302124,46.298737061329376,47.00434446334839,48.479583430934596,48.92815017700195,48.70420837402344,50.054222106933594,49.04650650024414,48.8665771484375,49.38168129554161,45.47653243120979,46.75818379720052,46.44866180419922,46.745888165065224,45.519193956928866,46.91388478772394,48.323200691037066,47.426567648339464,50.23319452459162,50.319580302518965,48.75309552086724,49.20602343159337,48.557429722377236
Chỉ số PAPI tổng hợp (có trọng số) - sai số ,,0.4430178105831146,0.4482327103614807,0.33830221260295196,0.3369425614674886,0.7429583072662354,0.47628363966941833,1.6108717918395996,1.136924050748348,0.4052378535270691,0.859629213809967,0.7817871446410816,0.4530936740338802,0.4078200566462981,0.7266261521726847,0.43241688125842337,0.5773469805717468,0.8901494145393372,0.672325611114502,0.45840855836868283,0.35922107100486755,0.7349515729225599,0.4447522741906783,0.4467167456944784,0.7727549076080322,1.2506435598645893,0.5434821248054504,0.4698791791652811,0.6532317181912864,0.6655325730015913,0.4273384881742073,0.8413726582246668,0.689457439714008,0.36862434879426037,0.4479728170803615
Chỉ số PAPI tổng hợp (không có trọng số),10-80 điểm,41.53302001953125,44.81234359741211,42.678316677317895,43.65027414957682,43.72874450683594,41.969932556152344,45.10807800292969,43.405524015426636,44.0736198425293,46.66279220581055,43.97496223449707,44.309070110321045,43.58580330090645,42.70406436920165,44.536777599437826,43.89048385620117,44.71541213989258,44.79793167114258,44.96543045043945,45.85895538330078,44.60828971862793,41.38104651955997,42.529211680094406,41.19253730773926,41.23617172241211,42.19978997015183,41.98362718779465,43.908753930068606,43.95984868928204,44.39150353633996,44.8621909197639,43.48333687252468,44.37564911380891,43.29329899379185
Chỉ số PAPI tổng hợp (không có trọng số) - điểm tối thiểu trong khoảng tin cậy 95%,,41.110679626464844,43.95296859741211,42.22719708610983,43.14216639200847,42.3575439453125,41.39728546142578,41.83489227294922,41.55917716026306,43.539424896240234,45.4299430847168,43.00154240926106,43.77947735786437,42.97891597258739,41.70768332481384,43.9939312290501,42.82101058959961,43.413143157958984,43.76485824584961,44.10852355957031,45.2296028137207,43.761921662550705,40.25700333539177,41.718578338623054,40.44924736022949,39.9551625932966,41.480248851160844,41.468888644514415,43.13679513698672,43.14740611999992,43.92938590772224,43.68535995483398,42.660065015157066,43.85898996168567,42.85493741716657
Chỉ số PAPI tổng hợp (không có trọng số) - điểm tối đa trong khoảng tin cậy 95%,,41.955360412597656,45.67171859741211,43.12943626852596,44.158381907145184,45.099945068359375,42.542579650878906,48.381263732910156,45.25187087059021,44.60781478881836,47.8956413269043,44.94838205973308,44.83866286277771,44.19269062922551,43.70044541358948,45.07962396982555,44.959957122802734,46.01768112182617,45.83100509643555,45.82233734130859,46.48830795288086,45.454657774705154,42.50508970372817,43.33984502156576,41.93582725524902,42.51718085152762,42.91933108914283,42.49836573107489,44.68071272315049,44.772291258564145,44.85362116495768,46.039021884693824,44.30660872989231,44.892308265932144,43.731660570417134
Chỉ số PAPI tổng hợp (không có trọng số) - sai số ,,0.25674787163734436,0.5224276185035706,0.2742419856436112,0.3088874131441116,0.8335735201835632,0.3481205701828003,1.9898194074630737,1.1224225293844938,0.32474485039711,0.7494692802429199,0.5917575657367706,0.3219476472586393,0.3689357317410982,0.6057158131152391,0.33000462441831024,0.650149941444397,0.791668713092804,0.6280209422111511,0.5209269762039185,0.3825920522212982,0.5145194398669096,0.6833240530070136,0.4927973151206971,0.4518570601940155,0.7787451680217471,0.4374194222111856,0.31291676595293244,0.46928609943971406,0.4938957238291192,0.2809288546894536,0.7154138088226317,0.5004800831278166,0.31408543740549394,0.266487147126879
Chỉ số nội dung 1: Tham gia của người dân ở cấp cơ sở,1-10 điểm,5.038736343383789,4.786910057067871,5.235002966488109,4.989168198903402,4.990222454071045,4.7397990226745605,5.227296352386475,5.107862591743469,5.035989761352539,5.532755374908447,5.306915760040283,5.410672128200531,5.168013401520557,5.237396553158759,5.183422075735557,4.913539886474609,5.430588245391846,5.806632041931152,5.275116539001465,5.243128776550293,4.832282946659968,4.631176808301141,4.798354466756185,4.7575743198394775,4.6680585486548285,4.795340968716529,4.440859334222202,4.86801617319991,4.891678273208498,4.75297838268858,4.929018525516286,4.283942686186896,4.658621895697809,4.436622415270124
1.1: Tri thức công dân,0.25-2.5 điểm,0.7362544536590576,0.7758383750915527,0.8194891950663398,0.8025105277697246,0.7473992109298706,0.6606175899505615,0.7806506156921387,0.7874114364385605,0.7937432527542114,0.8310277462005615,0.7915530204772948,0.8087413758039474,0.7753328115512162,0.7280640229582785,0.764410455484648,0.718457043170929,0.7847312688827515,0.9437148571014404,0.8542570471763611,0.7868393659591675,0.7876755136709946,0.6129408724167767,0.6865729689598083,0.702309250831604,0.6548334615571159,0.7291262515129581,0.7157936013978103,0.7947204098468874,0.8436936294938636,0.7037061615423724,0.7167137160020715,0.6463380323515998,0.7674930403309486,0.6933444057192122
